recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients
0,Bread and bakery,"Tesco Finest 4 Brioche Burger Buns, £1.20 each",4 brioche burger buns,1,£1.20,4,brioche burger buns,rolls
1,Bread and bakery,"Jus-Rol Puff Pastry Block 500G, £1.35 each",375g puff pastry,1,£1.35,375g,puff pastry,puff pastry
3,Bread and bakery,"Warburtons Crumpets 6 Pack, £0.90 each",6 crumpets,1,£0.90,6,crumpets,crumpets
8,Bread and bakery,"Capsicana 6 Large Tortilla Wheat Flour Wraps 390G, £2.25 each",4 tortilla wraps,1,£2.25,4,tortilla wraps,tortillas
22,Bread and bakery,"Tesco 8 Mini White Tortilla Wraps, £1.00 each",8 mini plain tortilla wraps,1,£1.00,8,mini plain tortilla wraps,tortillas
28,Bread and bakery,"Hovis White Bread 450G, £1.75 each",1 slice bread,1,£1.75,1,slice bread,white bread
37,Bread and bakery,"Hearty Food Co. Garlic Baguette 170G, £0.37 each",1 garlic baguette,2,£0.74,1,garlic baguette,garlic bread
49,Bread and bakery,"Tesco 6 White Pitta Bread, £0.55 each",1 pitta,1,£0.55,1,pitta,pitta
50,Bread and bakery,"Hovis White Bread 450G, £1.75 each",0.3 white baton,1,£1.75,0.3,white baton,baguettes
51,Bread and bakery,"Tesco Wholemeal Batch Rolls 6 Pack, £0.55 each",6 wholemeal buns,1,£0.55,6,wholemeal buns,rolls
57,Bread and bakery,"Tesco 8 Wholemeal Tortilla Wraps, £1.10 each",4 wholemeal tortilla wraps,1,£1.10,4,wholemeal tortilla wraps,tortillas
59,Bread and bakery,"Tesco 2 Homebake Baguettes, £1.10 each",2 baguettes,1,£1.10,2,baguettes,baguettes
62,Bread and bakery,"Old El Paso Super Soft Flour Tortillas Whole Wheat 8Pk 326G, £1.80 each",8 wholemeal tortillas,1,£1.80,8,wholemeal tortillas,tortillas
63,Bread and bakery,"Tesco Ciabatta 270G, £1.05 each",crusty bread,1,£1.05,,crusty bread,crusty bread
73,Bread and bakery,"Tesco Ciabatta 270G, £1.05 each",crusty bread,1,£1.05,,crusty bread,crusty bread
76,Bread and bakery,"Patak's Flame Baked Plain Naan Breads 2 Pack, £1.85 each",2 flatbreads,1,£1.85,2,flatbreads,naan
84,Bread and bakery,"Tesco Ciabatta 270G, £1.05 each",crusty bread,1,£1.05,,crusty bread,crusty bread
87,Bread and bakery,"Tesco 8 Plain Tortilla Wraps, £1.10 each",8 tortilla wraps,1,£1.10,8,tortilla wraps,tortillas
94,Bread and bakery,"Tesco Ciabatta 270G, £1.05 each",crusty bread,1,£1.05,,crusty bread,crusty bread
97,Bread and bakery,"Tesco Ciabatta 270G, £1.05 each",crusty bread,1,£1.05,,crusty bread,crusty bread
98,Bread and bakery,"Marmite Flatbreads 140G, £2.80 each",pitta bread,1,£2.80,,pitta bread,pitta
107,Bread and bakery,"Warburtons 6 Sliced Sandwich Rolls, £1.20 each",6 buns,1,£1.20,6,buns,rolls
117,Bread and bakery,"Genius Gluten Free Soft White Farmhouse Loaf 430G, £2.75 each",100g white gluten-free bread,1,£2.75,100g,white gluten-free bread,white gluten-free bread
121,Bread and bakery,"Tesco Large Seeded Burger Buns 4 Pack, £0.80 each",10 burger buns,3,£2.40,10,burger buns,rolls
122,Bread and bakery,"Tesco Plain Naans 2 Pack 260G, £0.80 each",naan bread,1,£0.80,,naan bread,naan
124,Bread and bakery,"Capsicana 6 Large Tortilla Wheat Flour Wraps 390G, £2.25 each",4 tortilla wraps,1,£2.25,4,tortilla wraps,tortillas
130,Bread and bakery,"Tesco White Breadcrumbs 175G, £1.15 each",25g fresh white breadcrumbs,1,£1.15,25g,fresh white breadcrumbs,breadcrumbs
136,Bread and bakery,"Large White Bap 4 Pack, £0.80 each",4 white rolls,1,£0.80,4,white rolls,rolls
142,Bread and bakery,"Old El Paso Corn Tortillas 335G, £1.80 each",8 corn tortillas,1,£1.80,8,corn tortillas,tortillas
148,Bread and bakery,"Tesco 6 Wholemeal Pitta Bread, £0.55 each",6 wholemeal pittas,1,£0.55,6,wholemeal pittas,pitta
