recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
0,Condiments,"Aleyna Sliced Red Jalapeno Peppers 480G, £1.15 each",6 tbsp drained sliced green jalapeños in brine,1,£1.15,6 tbsp,drained sliced green jalapeños in brine,jalapeños ,
1,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",1.5 tbsp tomato purée,1,£0.60,1.5 tbsp,tomato purée,tomato purée,
1,Condiments,"Tesco Wholegrain Mustard 180G, £0.80 each",1.5 tbsp grainy mustard,1,£0.80,1.5 tbsp,grainy mustard,wholegrain mustard,
2,Condiments,"Nishaan Garlic Paste 283G, £1.15 each",0.5 tsp garlic paste,1,£1.15,0.5 tsp,garlic paste,garlic paste,!
2,Condiments,"Tesco Ginger Paste 90G, £1.50 each",0.5 tsp ginger paste,1,£1.50,0.5 tsp,ginger paste,ginger paste,!
5,Condiments,"Tesco Hot Chilli Sauce 500G, £1.20 each",hot chilli sauce,1,£1.20,,hot chilli sauce,chilli sauce,
5,Condiments,"Lee Kum Kee Premium Light Soy Sauce 150Ml Plus Free Sauce, £1.40 each",3 tbsp low-salt soy sauce,1,£1.40,3 tbsp,low-salt soy sauce,soy sauce,
9,Condiments,"Frylight Rapeseed Oil Spray 190Ml, £2.75 each",spray oil,1,£2.75,,spray oil,cooking oil,
10,Condiments,"Sacla Vegan Basil Pesto 190G, £3.10 each",90g free from green pesto,1,£3.10,90g,free from green pesto,vegan green pesto,
11,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",2 tbsp tomato purée,1,£0.60,2 tbsp,tomato purée,tomato purée,
12,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",1 tbsp reduced-salt soy sauce,1,£2.00,1 tbsp,reduced-salt soy sauce,soy sauce,
12,Condiments,"Lee Kum Kee Wok Sesame Oil 207Ml, £2.40 each",2 tsp sesame oil,1,£2.40,2 tsp,sesame oil,sesame oil,
12,Condiments,"Nuts About Nature Peanut Butter Smooth 340G, £1.85 each",1 tbsp smooth peanut butter,1,£1.85,1 tbsp,smooth peanut butter,smooth peanut butter,
15,Condiments,"Tesco Thai Green Curry Paste 200G, £1.90 each",200g thai green curry paste,1,£1.90,200g,thai green curry paste,thai green curry paste,
16,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",3 tbsp reduced-salt soy sauce,1,£2.00,3 tbsp,reduced-salt soy sauce,soy sauce,
