recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients
0,Fruits and vegetables,"T.Ready To Eat Large Avocados Each, £0.89 each",1 avocado,1,£0.89,1,avocado,avocado
0,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",4 tbsp chopped coriander leaves,1,£0.52,4 tbsp,chopped coriander leaves,coriander
0,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",1 lime juiced,1,£1.20,1,lime juiced,lime
0,Fruits and vegetables,"Tesco Little Gem Lettuce 2 Pack, £0.85 each",4 leaves little gem lettuce,1,£0.85,4 leaves,little gem lettuce,lettuce
0,Fruits and vegetables,"Loose Red Onions Class 2 0.21kg, £0.21 / 0.21kg",1 red onion,0.21,£0.21,1,red onion,onion
0,Fruits and vegetables,"Tesco Large Sweet Potatoes Loose Class 1 0.35kg, £0.39 / 0.35kg",600g sweet potatoes,0.7,£0.77,600g,sweet potatoes,potato
0,Fruits and vegetables,"Tesco Organic Large On The Vine Tomatoes 400G, £2.00 each",4 vine tomatoes,1,£2.00,4,vine tomatoes,tomato
1,Fruits and vegetables,"Tesco Celery Sticks 250G, £0.85 each",3 celery sticks,1,£0.85,3 sticks,celery,celery
1,Fruits and vegetables,"Chestnut Mushrooms 250G, £1.10 each",500g chestnut mushrooms,2,£2.20,500g,chestnut mushrooms,mushroom
1,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 onion,0.12,£0.12,1,onion,onion
1,Fruits and vegetables,"Tesco Thyme 20G, £0.52 each",5 thyme sprigs,1,£0.52,5 sprigs,thyme,thyme
2,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",1 juice of lemon,1,£0.55,1,juice of lemon,lemon
2,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",onions,0.12,£0.12,,onions,onion
2,Fruits and vegetables,"Tesco Red Chillies 60G, £0.70 each",2 red chillies,1,£0.70,2,red chillies,chilli
2,Fruits and vegetables,"Tesco Finest Sugarbelle Tomatoes 400G, £3.15 each",1 tomato,1,£3.15,1,tomato,tomato
2,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 white onion,0.12,£0.12,1,white onion,onion
3,Fruits and vegetables,"Tesco Fresh Cut Flat Leaf Parsley 30G, £0.60 each",10g flat-leaf parsley,1,£0.60,10g,flat-leaf parsley,parsley
3,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 cloves garlic,1,£0.95,2 cloves,garlic,garlic
4,Fruits and vegetables,"Tesco Tenderstem Broccoli 200G, £1.60 each",100g tenderstem broccoli,1,£1.60,100g,tenderstem broccoli,broccoli
4,Fruits and vegetables,"Tesco Finest Extra Fine Beans 200G, £1.50 each",100g green beans,1,£1.50,100g,green beans,green beans
5,Fruits and vegetables,"Tesco Broccoli 375G, £0.86 each",0.5 head broccoli,1,£0.86,0.5 head,broccoli,broccoli
5,Fruits and vegetables,"Tesco Carrots Loose 0.16kg, £0.08 / 0.16kg",1 carrot,0.16,£0.08,1,carrot,carrot
5,Fruits and vegetables,"Tesco Organic Garlic 3 Pack, £1.00 each",4 garlic cloves,1,£1.00,4 cloves,garlic,garlic
5,Fruits and vegetables,"Ginger Root Loose 0.10kg, £0.65 / 0.1kg",5 cm ginger,0.1,£0.65,5 cm,ginger,ginger
5,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",3 limes,1,£1.20,3,limes,lime
5,Fruits and vegetables,"Chestnut Mushrooms 250G, £1.10 each",150g mushrooms,1,£1.10,150g,mushrooms,mushroom
5,Fruits and vegetables,"Tesco Red Chillies 60G, £0.70 each",3 fresh red chillies,1,£0.70,3,fresh red chillies,chilli
5,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",1 bunch spring onions,1,£0.50,1 bunch,spring onions,spring onion
5,Fruits and vegetables,"Tesco Mangetout 150G, £1.05 each",150g sugarsnap peas,1,£1.05,150g,sugarsnap peas,mangetout
6,Fruits and vegetables,"Tesco Broccoli 375G, £0.86 each",0.5 head broccoli,1,£0.86,0.5 head,broccoli,broccoli
6,Fruits and vegetables,"Suntrail Farms Orange Minimum 5 Pack, £0.80 each",2 oranges,1,£0.80,2,oranges,orange
6,Fruits and vegetables,"Loose Red Onions Class 2 0.21kg, £0.21 / 0.21kg",1 red onions,0.21,£0.21,1,red onions,onion
6,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",2 spring onions,1,£0.50,2,spring onions,spring onion
8,Fruits and vegetables,"T.Ready To Eat Large Avocados Each, £0.89 each",1 avocado,1,£0.89,1,avocado,avocado
8,Fruits and vegetables,"Tesco Baby Spinach 220G, £1.35 each",120g baby spinach leaves,1,£1.35,120g,baby spinach leaves,spinach
8,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",15g fresh coriander,1,£0.52,15g,fresh coriander,coriander
8,Fruits and vegetables,"Tesco Whole Large Cucumber, £0.95 each",0.5 cucumber,1,£0.95,0.5,cucumber,cucumber
8,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",1 garlic clove,1,£0.95,1 clove,garlic,garlic
8,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",1 lime zested,1,£1.20,1,lime zested,lime
9,Fruits and vegetables,"Tesco Organic Pepper 250G, £1.60 each",0.5 red pepper,1,£1.60,0.5,red pepper,pepper
9,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",1 spring onion,1,£0.50,1,spring onion,spring onion
10,Fruits and vegetables,"Tesco Broccoli 375G, £0.86 each",0.5 head broccoli,1,£0.86,0.5 head,broccoli,broccoli
10,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",1 lemon,1,£0.55,1,lemon,lemon
10,Fruits and vegetables,"Tesco Sweet Heart Cabbage Each Class 1, £0.67 each",0.5 sweetheart cabbage,1,£0.67,0.5,sweetheart cabbage,cabbage
11,Fruits and vegetables,"Tesco Organic Garlic 3 Pack, £1.00 each",6 garlic cloves,1,£1.00,6 cloves,garlic,garlic
11,Fruits and vegetables,"Tesco Mint 30G, £0.52 each",15g fresh mint,1,£0.52,15g,fresh mint,mint
11,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 onion,0.12,£0.12,1,onion,onion
12,Fruits and vegetables,"Tesco Baby Corn 130G, £1.25 each",130g baby corn,1,£1.25,130g,baby corn,baby corn
12,Fruits and vegetables,"Tesco Carrots Loose 0.16kg, £0.08 / 0.16kg",1 carrot,0.16,£0.08,1,carrot,carrot
12,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",2 limes juiced,1,£1.20,2,limes juiced,lime
12,Fruits and vegetables,"Tesco Sweet Heart Cabbage Each Class 1, £0.67 each",300g sweetheart cabbage,1,£0.67,300g,sweetheart cabbage,cabbage
12,Fruits and vegetables,"Tesco Organic Pepper 250G, £1.60 each",1 red pepper,1,£1.60,1,red pepper,pepper
12,Fruits and vegetables,"Tesco Mangetout 150G, £1.05 each",150g sugarsnap peas,1,£1.05,150g,sugarsnap peas,mangetout
13,Fruits and vegetables,"Tesco Baby Potatoes 1Kg, £1.20 each",1kg baby potatoes,1,£1.20,1kg,baby potatoes,baby potato
13,Fruits and vegetables,"Tesco Fresh Cut Flat Leaf Parsley 30G, £0.60 each",60g fresh flat-leaf parsley,2,£1.20,60g,fresh flat-leaf parsley,parsley
