recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,,,
0,Herbs and spices,"Tesco Ground Cayenne Pepper 48G, £0.90 each",1 tsp cayenne pepper,1,£0.90,1 tsp,cayenne pepper,cayenne pepper,,,
2,Herbs and spices,"Tesco Baharat Seasoning 53G, £2.15 each",1 tsp baharat,1,£2.15,1 tsp,baharat,baharat,,,
2,Herbs and spices,"Tesco Mustard Seeds 60G, £0.90 each",1 tsp black mustard seeds,1,£0.90,1 tsp,black mustard seeds,mustard seeds,,,
2,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",0.5 tsp ground turmeric,1,£0.90,0.5 tsp,ground turmeric,ground turmeric,,,
6,Herbs and spices,"Tesco Fennel Seeds 36G, £0.90 each",1 tbsp fennel seeds,1,£0.90,1 tbsp,fennel seeds,fennel seeds,,,
6,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
11,Herbs and spices,"Tesco Baharat Seasoning 53G, £2.15 each",1 tbsp baharat seasoning,1,£2.15,1 tbsp,baharat seasoning,baharat,,,
11,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",2 tbsp sesame seeds,1,£0.90,2 tbsp,sesame seeds,sesame seeds,,,
13,Herbs and spices,"Tesco Cooking Salt 1.5Kg, £1.75 each",2 tsp fine salt,1,£1.75,2 tsp,fine salt,salt,,,
16,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",1 tbsp sesame seeds,1,£0.90,1 tbsp,sesame seeds,sesame seeds,,,
21,Herbs and spices,"Tesco Cinnamon Sticks 12G, £0.90 each",2 cinnamon sticks,1,£0.90,2 sticks,cinnamon,cinnamon sticks ,,,
21,Herbs and spices,"Tesco Bay Leaves 3G, £0.90 each",6 dried bay leaves,1,£0.90,6,dried bay leaves,dried bay leaves,,,
21,Herbs and spices,"Tesco Ground Mix Spice 37G, £0.90 each",1 tsp mixed spice,1,£0.90,1 tsp,mixed spice,mixed spice,,,
21,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",1 tsp ground turmeric,1,£0.90,1 tsp,ground turmeric,ground turmeric,,,
22,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",3 tsp smoked paprika,1,£0.90,3 tsp,smoked paprika,smoked paprika,,,
23,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",chilli flakes,1,£0.90,,chilli flakes,crushed chillies,,,
23,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",1 tsp sesame seeds,1,£0.90,1 tsp,sesame seeds,sesame seeds,,,
23,Herbs and spices,"Saxa White Pepper 25G, £0.90 each",0.25 tsp white pepper,1,£0.90,0.25 tsp,white pepper,black pepper,,,
24,Herbs and spices,"Tesco Dried Parsley 11G Jar, £0.90 each",1 tsp dried parsley,1,£0.90,1 tsp,dried parsley,dried parsley,,,
24,Herbs and spices,"Tesco Garlic Granules 56G, £0.90 each",0.5 tsp granulated garlic,1,£0.90,0.5 tsp,granulated garlic,garlic granules,,,
24,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",1 tsp smoked paprika,1,£0.90,1 tsp,smoked paprika,smoked paprika,,,
26,Herbs and spices,"Tesco Garlic Granules 56G, £0.90 each",0.5 tsp garlic granules,1,£0.90,0.5 tsp,garlic granules,garlic granules,,,
26,Herbs and spices,"Tesco Onion Granules 52G, £0.90 each",0.5 tsp onion granules,1,£0.90,0.5 tsp,onion granules,onion granules,,,
26,Herbs and spices,"Tesco Paprika 52G, £0.90 each",0.5 tsp paprika,1,£0.90,0.5 tsp,paprika,paprika,,,
28,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",1 tsp crushed chillies,1,£0.90,1 tsp,crushed chillies,crushed chillies,,,
