raw_ingredients,simplified_ingredients
plain flour,plain flour
caster sugar,caster sugar
cornflour,cornflour
brown rice flour,brown rice flour
self-raising flour,self-raising flour
toasted flaked almonds,flaked almond
fresh breadcrumbs,breadcrumb
flaked almonds,flaked almond
dried breadcrumbs,breadcrumb
self-raising four,self-raising four
breadcrumbs,breadcrumb
light brown sugar,light brown sugar
mixed grains,mixed grain
soft dark brown sugar,dark brown sugar
dark brown sugar,dark brown sugar
flour,plain flour
fresh wholemeal breadcrumbs,breadcrumb
brown sugar,brown sugar
seasoned flour,plain flour
light brown soft sugar,light brown sugar
bulgur wheat and quinoa mix,mixed grain
