raw_ingredients,simplified_ingredients
brioche burger buns,roll
puff pastry,puff pastry
crumpets,crumpet
tortilla wraps,tortilla
mini plain tortilla wraps,tortilla
slice bread,white bread
garlic baguette,garlic bread
pitta,pitta
white baton,baguette
wholemeal buns,rolls
wholemeal tortilla wraps,tortilla
baguettes,baguette
wholemeal tortillas,tortilla
crusty bread,crusty bread
flatbreads,naan
pitta bread,pitta
buns,roll
white gluten-free bread,white gluten-free bread
burger buns,roll
naan bread,naan
fresh white breadcrumbs,breadcrumb
white rolls,roll
corn tortillas,tortilla
wholemeal pittas,pitta
