raw_ingredients,simplified_ingredients
coconut milk,coconut milk
lighter coconut milk,coconut milk
butter beans,butter beans
light coconut milk,coconut milk
new potatoes,potatoes
chopped tomatoes,chopped tomatoes
anchovies,anchovies
italian chopped tomatoes,chopped tomatoes
beans,black beans
green lentils,lentils
borlotti beans,borlotti beans
cannellini beans,cannellini beans
chickpeas,chickpeas
cream of mushroom soup,mushroom soup
black-eyed beans,black-eyed beans
italian peeled plum tomatoes,chopped tomatoes
plum tomatoes,chopped tomatoes
of plum tomatoes,chopped tomatoes
black beans,black beans
kidney beans,kidney beans
sweetcorn,sweetcorn
mackerel in spicy tomato sauce,mackerel
finely chopped tomatoes,chopped tomatoes
caponata,caponata
anchovy fillets,anchovies
chickpeas in water,chickpeas
green lentils in water,lentils
flageolet beans,flageolet beans
heinz canned baked beans in tomato sauce,baked beans
tuna chunks in spring water,canned tuna
mixed bean salad,mixed beans
peeled plum tomatoes,chopped tomatoes
mackerel in tomato sauce,mackerel
canned chopped italian tomato,chopped tomatoes
chopped tomatoes with olive oil and garlic,chopped tomatoes
sweet peppers,peppers
roasted peppers,peppers
mixed beans,mixed beans
canned tuna,canned tuna
crab meat,canned crab
shredded crab meat,canned crab
