raw_ingredients,simplified_ingredients
drained sliced green jalapeños in brine,jalapeños 
tomato purée,tomato purée
grainy mustard,wholegrain mustard
garlic paste,garlic 
ginger paste ,ginger
hot chilli sauce,chilli sauce
low-salt soy sauce,soy sauce
spray oil,cooking oil
free from green pesto,vegan green pesto
reduced-salt soy sauce,soy sauce
sesame oil,sesame oil
smooth peanut butter,smooth peanut butter
thai green curry paste,thai green curry paste
green pesto,green pesto
mayonnaise,mayonnaise
pickled red cabbage,pickled red cabbage
rice wine vinegar,rice wine vinegar
american yellow mustard,yellow mustard
wholegrain mustard,wholegrain mustard
massaman curry paste,massaman curry paste
white sauce,white sauce
capers,capers
pitted black olives,pitted black olives
light soy sauce,soy sauce
mirin,mirin
rice vinegar,rice wine vinegar
passata,passata
balsamic vinegar,balsamic vinegar
olives,pitted green olives
vegetarian red pesto,red pesto
bbq sauce,bbq sauce
passata with garlic & herbs,passata
mango chutney,mango chutney
reduced-fat mayonnaise,mayonnaise
worcestershire sauce,worcestershire sauce
sunflower oil,cooking oil
garlic ,garlic 
ginger,ginger
rapeseed oil,cooking oil
harissa paste,harissa paste
pesto,green pesto
tikka paste,tikka paste
chilli sauce,chilli sauce
red pesto,red pesto
chipotle paste,chipotle paste
dijon mustard,dijon mustard
white wine vinegar,white wine vinegar
shaoxing rice wine,white wine
light mayo,mayonnaise
sunflower oil spray,cooking oil
tikka curry paste,tikka paste
gherkins,gherkins
green pickled chillies,jalapeños 
groundnut oil,groundnut oil
peri peri sauce,peri peri sauce
guacamole,guacamole
fish sauce,fish sauce
soy sauce,soy sauce
cider vinegar,cider vinegar
spinach and ricotta pesto,green pesto
roasted red peppers,roasted red peppers
reduced salt soy sauce,soy sauce
sriracha,sriracha
red wine vinegar,red wine vinegar
tomato purée,tomato purée
horseradish sauce,horseradish sauce
pitted queen olives,pitted green olives
tahini,tahini
thai red curry paste,thai red curry paste
