raw_ingredients,simplified_ingredients
avocado,avocado
chopped coriander leaves,coriander
lime juiced,lime
little gem lettuce,lettuce
red onion,onion
sweet potatoes,potato
vine tomatoes,tomato
celery,celery
chestnut mushrooms,mushroom
onion,onion
thyme,thyme
juice of lemon,lemon
onions,onion
red chillies,chilli
tomato,tomato
white onion,onion
flat-leaf parsley,parsley
garlic,garlic
tenderstem broccoli,broccoli
green beans,green bean
broccoli,broccoli
carrot,carrot
ginger,ginger
limes,lime
mushrooms,mushroom
fresh red chillies,chilli
spring onions,spring onion
sugarsnap peas,mangetout
oranges,orange
red onions,onion
baby spinach leaves,spinach
fresh coriander,coriander
cucumber,cucumber
lime zested,lime
red pepper,pepper
spring onion,spring onion
lemon,lemon
sweetheart cabbage,cabbage
fresh mint,mint
baby corn,baby corn
limes juiced,lime juiced
baby potatoes,baby potato
fresh flat-leaf parsley,parsley
green chilli,chilli
leek,leek
watercress,watercress
mangetout,mangetout
purple sprouting broccoli,broccoli
mushrooms sliced,mushroom
fresh ginger,ginger
baking potatoes,potato
mixed leaf salad,mixed leaf salad
shallots,onion
spring greens,spring green
asparagus,asparagus
courgette,courgette
aubergines,aubergines
cauliflower,cauliflower
lemon wedges,lemon
pomegranate seeds,pomegranate seeds
coriander,coriander
kiwis,kiwis
lime,lime
fresh chives,chives
zest lemon,lemon
fresh parsley,parsley
pak choi,pak choi
cloves,garlic
red chilli,chilli
shiitake mushrooms,mushroom
beansprouts,beansprouts
butterhead lettuce,lettuce
fresh herbs,fresh herbs
lime wedges,lime
basil,basil
rocket,rocket
lettuce,lettuce
carrots,carrot
cooked beetroot,beetroot
radishes,radish
cherry tomatoes,tomato
fresh thyme,thyme
roughly chopped onion,onion
closed-cup mushrooms,mushroom
salad leaves,salad leaves
bay leaf,bay leaf
peas,peas
potato,potato
rhubarb,rhubarb
green chillies,chilli
baby spinach,spinach
iceberg lettuce,lettuce
fresh basil,basil
mixed-coloured peppers,pepper
lemons,lemon
red cabbage,cabbage
the juice of lime,lime
mixed peppers,pepper
iceberg lettuce shredded,lettuce
savoy cabbage,cabbage
bay leaves,bay leaf
leeks,leeks
potatoes,potato
chilli,chilli
swede,swede
celeriac,celeriac
mint leaves,mint
fresh sage leaves,fresh sage leaves
fresh dill,fresh dill
king edward potatoes,potato
fresh rosemary,rosemary
thinly sliced red onion,onion
salad tomato,tomato
parsnips,parsnips
maris piper potatoes,potato
fresh rosemary leaves,rosemary
fine beans,fine beans
orange,orange
rosemary,rosemary
cherry tomato,tomato
curly kale,curly kale
oregano,oregano
root vegetables,root vegetables
mint,mint
handfuls coriander leaves,coriander
fresh basil leaves,basil
peppers,pepper
lemon juice only,lemon
watermelon,watermelon
salad,salad
green peppers,pepper
fresh thyme leaves,thyme leaves
sweet potato,potato
tarragon,tarragon
courgettes,courgettes
basil leaves,basil
dill,dill
spinach leaves,spinach
chives,chives
floury potatoes,potato
salad tomatoes,tomato
watercress spinach and rocket,watercress spinach and rocket
bean sprouts,bean sprouts
root ginger,ginger
parsley leaves,parsley
sage leaves,sage leaves
echalion shallot,onion
fresh coriander leaves,coriander
coriander leaves,coriander
shallot,onion
red peppers,pepper
yellow pepper,pepper
beef tomatoes,tomato
banana shallots,onion
unwaxed lemon,lemon
asparagus spears,asparagus spears
wild rocket,wild rocket
greens,green
fresh mint leaves,mint
mushrooms chestnut,mushroom 
fennel,fennel
sliced onions,onion
parsley,parsley
kaffir lime leaves,lime
lemongrass stalk,lemongrass stalk
apple,apple
to serve fresh parsley leaves,parsley
butternut squash,butternut squash
new potatoes,potato
oyster mushroom,oyster mushroom
fresh greens,fresh green
pomegranate,pomegranate
beetroot,beetroot
shiitake mushroom,mushroom
