raw_ingredients,simplified_ingredients
beef burger patty,beef burger
lean diced beef,diced beef
pork sausages,pork sausage
chicken wings,chicken wing
20% fat lamb mince,lamb mince
pork fillet,pork fillet
chicken thigh fillets,chicken thigh fillet
chicken breast,chicken breast
smoked bacon lardons,bacon
corned beef slices,corned beef
slices prosciutto crudo,prosciutto
basa fillets,basa
mini chicken fillets,chicken
20% fat beef mince,beef mince
king prawns,prawn
reduced-fat pork sausages,pork sausage
beef meatballs,beef meatballs
chicken carcass,chicken carcass
bacon,bacon
chicken,whole chicken
lamb’s liver,lamb liver
rashers smoked back bacon,bacon
lamb shoulder,lamb shoulder
meat & veg beef mince,beef mince
chicken livers,chicken liver
50% reduced-fat cumberland pork sausages,pork sausage
chicken wing,chicken wing
smoked streaky bacon rashers,bacon
lamb mince,lamb mince
bone-in chicken thighs,bone in chicken thigh
diced beef,diced beef
pork loin steaks,pork loin
boneless salmon fillets,salmon
lamb breast joint,lamb breast
piri piri chicken,piri piri chicken
boneless salmon,salmon
smoked salmon,smoked salmon
turkey,turkey
reduced-fat cumberland pork sausages,pork sausage
lamb steaks,lamb steak
streaky bacon,bacon
slices prosciutto,prosciutto
lamb leg steak,lamb steak
pepperoni slices,pepperoni
raw tiger prawns peeled and de-veined,prawn
lamb's liver,lamb liver
smoked pancetta rashers,bacon
white crab meat,crab meat
cod fillet,cod
skinless chicken breasts,chicken breast
chicken breasts,chicken breast
fresh salmon,salmon
whole chicken,whole chicken
lamb mince % fat,lamb mince
beef topside,beef topside
braising beef,diced beef
beef fillet,beef fillet
white fish,cod
chicken breast fillets,chicken breast
pork steaks,pork steak
leg of lamb,lamb leg
rolled pork loin,pork loin
