raw_ingredients,simplified_ingredients
beef stock cube,beef stock 
beef stock,beef stock
chicken stock pot,chicken stock
vegetable stock pot,vegetable stock
reduced-salt vegetable stock cube,vegetable stock
cheese mix,cheese mix
beef stock pot,beef stock 
lt beef stock,beef stock
chicken stock pots,chicken stock
vegetable stock,vegetable stock
mashed potato,mashed potato
chicken stock cube,chicken stock 
vegetable stock cube,vegetable stock
lamb stock,lamb stock
vegetable bouillon powder,vegetable bouillon powder
l tr beef stock,beef stock 
ready to eat puy lentils,lentil
