raw_ingredients,simplified_ingredients
red lentils,red lentil
wholewheat noodles,wholewheat noodle
couscous,couscous
gnocchi,gnocchi
bulgur wheat,bulgur wheat
medium egg noodles,egg noodle
dried pasta,pasta
rice,rice
basmati rice,rice
risotto rice,risotto rice
cooked rice,rice
spaghetti,pasta
microwaveable basmati rice,rice
udon noodles,egg noodle
lasagne sheets,lasagne sheet
long-grain rice,rice
dried tagliatelle,pasta
brown rice,brown rice
penne,pasta
microwaveable wholegrain rice,rice
lentilles vertes,lentilles vertes
pearl barley,pearl barley
macaroni,macaroni
microwave long-grain rice,rice
microwave basmati rice,rice
rigatoni pasta,pasta
rice noodles,rice noodle
tagliatelle,pasta
dried linguine,pasta
dried spaghetti,pasta
potato gnocchi,potato gnocchi
pad thai noodle,rice noodle
nests rice vermicelli noodles,rice noodle
red lentil fusilli,red lentil fusilli
long grain white rice,rice
linguine,pasta
farfalle,pasta
