Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
8,3,10.21,8.37,1.84,8.85,8.85,0,17.22,1.84,29,2
9,3,7.35,7.35,0,8.85,8.85,0,16.2,0,25,0
10,3,13.58,9.52,4.06,8.85,8.85,0,18.37,4.06,25,3
14,3,8.13,5.68,2.45,8.85,8.85,0,14.53,2.45,25,3
21,3,19.3,12.55,6.75,8.85,8.85,0,21.4,6.75,26,5
29,3,24.58,21.88,2.7,8.85,8.85,0,30.73,2.7,25,2
33,3,13.23,13.23,0,8.85,5.5,3.35,18.73,3.35,14,0
36,3,8.3,5.94,2.36,8.85,8.85,0,14.79,2.36,27,4
37,3,8.8,7.85,0.95,8.85,8.85,0,16.7,0.95,25,1
39,3,7.81,6.65,1.16,8.85,5.5,3.35,12.15,4.51,13,2
46,3,24.77,19.77,5,8.85,8.85,0,28.62,5,26,3
49,3,12.68,11.67,1.01,8.85,8.85,0,20.52,1.01,28,2
52,3,10,7.64,2.36,8.85,8.85,0,16.49,2.36,25,3
53,3,7.83,6.02,1.81,8.85,5.5,3.35,11.52,5.16,15,2
54,3,7.17,6.62,0.55,8.85,8.85,0,15.47,0.55,25,1
57,3,9.45,6.94,2.51,8.85,8.85,0,15.79,2.51,25,2
58,3,14.43,11.35,3.08,8.85,8.85,0,20.2,3.08,28,4
59,3,9.28,7.08,2.2,8.85,8.85,0,15.93,2.2,26,3
60,3,17.5,15.85,1.65,8.85,8.85,0,24.7,1.65,27,2
62,3,10.02,8.37,1.65,8.85,8.85,0,17.22,1.65,27,2
67,3,16.18,12.91,3.27,8.85,8.85,0,21.76,3.27,27,3
71,3,13.15,12.87,0.279999999999999,8.85,8.85,0,21.72,0.279999999999999,25,1
74,3,13.49,12.54,0.949999999999999,8.85,8.85,0,21.39,0.949999999999999,25,1
75,3,12.92,9.65,3.27,8.85,5.5,3.35,15.15,6.62,15,4
76,3,16.68,13.77,2.91,8.85,8.85,0,22.62,2.91,26,4
79,3,26.6,16.9,9.7,8.85,8.85,0,25.75,9.7,25,4
82,3,6.65,5.1,1.55,8.85,5.5,3.35,10.6,4.9,14,2
87,3,18.99,14.27,4.72,8.85,8.85,0,23.12,4.72,27,4
88,3,6.17,6.17,0,8.85,8.85,0,15.02,0,25,0
91,3,15.89,14.82,1.07,8.85,8.85,0,23.67,1.07,25,2
93,3,6.35,4.45,1.9,8.85,8.85,0,13.3,1.9,26,2
94,3,14.73,13.11,1.62,8.85,8.85,0,21.96,1.62,26,3
102,3,21.08,16.37,4.71,8.85,8.85,0,25.22,4.71,26,3
103,3,11.81,9.79,2.02,8.85,8.85,0,18.64,2.02,25,3
114,3,11.25,4.4,6.85,8.85,8.85,0,13.25,6.85,25,5
119,3,12.95,11.75,1.2,8.85,8.85,0,20.6,1.2,26,2
127,3,17.33,11.03,6.3,8.85,8.85,0,19.88,6.3,26,3
132,3,11.51,10.02,1.49,8.85,8.85,0,18.87,1.49,25,3
