Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
3,78,8.85,2.5,6.35,4.4,4.4,0,6.9,6.35,28,3
3,31,8.85,2.5,6.35,4.82,4.82,0,7.32,6.35,27,3
31,78,4.82,3.87,0.95,4.4,4.4,0,8.27,0.95,27,1
3,61,8.85,2.5,6.35,5.93,5.93,0,8.43,6.35,26,3
3,82,8.85,2.5,6.35,6.65,6.05,0.600000000000001,8.55,6.95,13,3
3,88,8.85,2.5,6.35,6.17,6.17,0,8.67,6.35,28,3
114,78,11.25,4.4,6.85,4.4,4.4,0,8.8,6.85,27,5
3,69,8.85,2.5,6.35,6.33,6.33,0,8.83,6.35,26,3
93,78,6.35,4.45,1.9,4.4,4.4,0,8.85,1.9,28,2
3,93,8.85,2.5,6.35,6.35,6.35,0,8.85,6.35,26,3
3,56,8.85,2.5,6.35,6.44,6.44,0,8.94,6.35,24,3
114,31,11.25,4.4,6.85,4.82,4.82,0,9.22,6.85,26,5
93,31,6.35,4.45,1.9,4.82,4.82,0,9.27,1.9,27,2
3,53,8.85,2.5,6.35,7.83,6.83,1,9.33,7.35,14,3
3,131,8.85,2.5,6.35,6.95,6.95,0,9.45,6.35,28,3
82,78,6.65,5.1,1.55,4.4,4.4,0,9.5,1.55,27,2
3,54,8.85,2.5,6.35,7.17,7.17,0,9.67,6.35,28,3
3,39,8.85,2.5,6.35,7.81,7.21,0.6,9.71,6.95,12,3
31,61,4.82,3.87,0.95,5.93,5.93,0,9.8,0.95,25,1
3,9,8.85,2.5,6.35,7.35,7.35,0,9.85,6.35,29,3
82,31,6.65,5.1,1.55,4.82,4.82,0,9.92,1.55,26,2
14,93,8.13,5.68,2.45,6.35,4.25,2.1,9.93,4.55,12,3
31,88,4.82,3.87,0.95,6.17,6.17,0,10.04,0.95,27,1
14,78,8.13,5.68,2.45,4.4,4.4,0,10.08,2.45,27,3
31,53,4.82,3.87,0.95,7.83,6.31,1.52,10.18,2.47,12,1
36,93,8.3,5.94,2.36,6.35,4.25,2.1,10.19,4.46,14,4
31,69,4.82,3.87,0.95,6.33,6.33,0,10.2,0.95,25,1
31,93,4.82,3.87,0.95,6.35,6.35,0,10.22,0.95,25,1
3,72,8.85,2.5,6.35,7.72,7.72,0,10.22,6.35,27,3
31,56,4.82,3.87,0.95,6.44,6.44,0,10.31,0.95,12,1
53,31,7.83,6.02,1.81,4.82,4.3,0.52,10.32,2.33,15,2
114,61,11.25,4.4,6.85,5.93,5.93,0,10.33,6.85,25,5
36,78,8.3,5.94,2.36,4.4,4.4,0,10.34,2.36,28,4
93,61,6.35,4.45,1.9,5.93,5.93,0,10.38,1.9,26,2
53,78,7.83,6.02,1.81,4.4,4.4,0,10.42,1.81,29,2
93,14,6.35,4.45,1.9,8.13,6.03,2.1,10.48,4,13,2
14,31,8.13,5.68,2.45,4.82,4.82,0,10.5,2.45,26,3
31,82,4.82,3.87,0.95,6.65,6.65,0,10.52,0.95,25,1
114,88,11.25,4.4,6.85,6.17,6.17,0,10.57,6.85,27,5
82,3,6.65,5.1,1.55,8.85,5.5,3.35,10.6,4.9,13,2
93,88,6.35,4.45,1.9,6.17,6.17,0,10.62,1.9,28,2
3,14,8.85,2.5,6.35,8.13,8.13,0,10.63,6.35,24,3
114,69,11.25,4.4,6.85,6.33,6.33,0,10.73,6.85,25,5
114,93,11.25,4.4,6.85,6.35,6.35,0,10.75,6.85,25,5
36,31,8.3,5.94,2.36,4.82,4.82,0,10.76,2.36,27,4
93,69,6.35,4.45,1.9,6.33,6.33,0,10.78,1.9,26,2
3,36,8.85,2.5,6.35,8.3,8.3,0,10.8,6.35,23,3
31,131,4.82,3.87,0.95,6.95,6.95,0,10.82,0.95,27,1
114,56,11.25,4.4,6.85,6.44,6.44,0,10.84,6.85,23,5
93,56,6.35,4.45,1.9,6.44,6.44,0,10.89,1.9,24,2
54,78,7.17,6.62,0.55,4.4,4.4,0,11.02,0.55,27,1
82,61,6.65,5.1,1.55,5.93,5.93,0,11.03,1.55,25,2
31,54,4.82,3.87,0.95,7.17,7.17,0,11.04,0.95,27,1
114,82,11.25,4.4,6.85,6.65,6.65,0,11.05,6.85,25,5
39,78,7.81,6.65,1.16,4.4,4.4,0,11.05,1.16,27,2
93,82,6.35,4.45,1.9,6.65,6.65,0,11.1,1.9,26,2
72,78,7.72,6.77,0.95,4.4,4.4,0,11.17,0.95,27,1
31,9,4.82,3.87,0.95,7.35,7.35,0,11.22,0.95,28,1
82,88,6.65,5.1,1.55,6.17,6.17,0,11.27,1.55,27,2
93,36,6.35,4.45,1.9,8.3,6.83,1.47,11.28,3.37,12,2
3,37,8.85,2.5,6.35,8.8,8.8,0,11.3,6.35,27,3
3,148,8.85,2.5,6.35,9.42,8.82,0.6,11.32,6.95,14,3
57,78,9.45,6.94,2.51,4.4,4.4,0,11.34,2.51,27,2
114,131,11.25,4.4,6.85,6.95,6.95,0,11.35,6.85,27,5
93,131,6.35,4.45,1.9,6.95,6.95,0,11.4,1.9,28,2
82,69,6.65,5.1,1.55,6.33,6.33,0,11.43,1.55,25,2
54,31,7.17,6.62,0.55,4.82,4.82,0,11.44,0.55,26,1
82,93,6.65,5.1,1.55,6.35,6.35,0,11.45,1.55,25,2
39,31,7.81,6.65,1.16,4.82,4.82,0,11.47,1.16,26,2
59,78,9.28,7.08,2.2,4.4,4.4,0,11.48,2.2,27,3
53,3,7.83,6.02,1.81,8.85,5.5,3.35,11.52,5.16,15,2
