item,quantity,quantities,raw_ingredients,leftover_amount,leftover_units
"Tesco Finest The Ultimate Brisket & Chuck Burgers 340G, £3.15 each",2,,beef burger patty,0,-
"Simon Howie Premium Pork Sausages 300G, £2.19 each",1,4,pork sausages,0,-
"Willow Farm Chicken Wings 900G - 1.2Kg, £2.30 each",1,900g,chicken wings,0,-
"Tesco British Lamb Mince 20% Fat 500G, £5.10 each",1,500g,20% fat lamb mince,0,g
"Fresh Pork Fillet 0.05kg, £0.40 / 0.05kg",0.4,400g,pork fillet,0,-
"Tesco British Chicken Thigh Fillets 1Kg, £6.00 each",1,1kg,chicken thigh fillets,0,kg
"Tesco Finest 2 Cornfed Free Range Chicken Fillets 270G-470G 0.05kg, £0.83 / 0.05kg",0.2,180g,chicken breast,0,-
"Tesco Smoked Lardons 200G, £2.70 each",1,100g,smoked bacon lardons,100,g
"Tesco Corned Beef 125G, £2.50 each",1,120g,corned beef slices,5,g
"Tesco 6 Prosciutto Crudo Slices 84G, £1.25 each",1,4,slices prosciutto crudo,2,units
"Tesco 2 Skinless & Boneless Basa Fillets 250G, £2.75 each",2,4,basa fillets,0,units
"Tesco Mini Chicken Fillets 650G, £5.40 each",1,650g,mini chicken fillets,0,g
"Tesco Finest Aberdeen Angus Steak Mince 500G, £4.65 each",1,500g,20% fat beef mince,0,g
"Seachill Cooked& Peeled King Prawns 150G, £2.59 each",1,150g,king prawns,0,g
"Tesco 8 Reduced Fat Pork Sausages 454G, £2.30 each",1,8,reduced-fat pork sausages,0,units
"Tesco Smoked Lardons 200G, £2.70 each",1,60g,smoked bacon lardons,140,g
"Tesco 12 Beef Meatballs 336G, £3.20 each",1,,beef meatballs,0,-
"Tesco British Large Whole Chicken 1.5Kg - 1.9Kg, £4.80 each",1,1,chicken carcass,0,-
"Woodside Farms Cooking Bacon 500G, £0.90 each",1,400g,bacon,100,g
"Tesco Whole Chicken Extra Large 1.9Kg - 2.3Kg, £5.60 each",1,1.9kg,chicken,0,-
"Tesco Finest British Cornfed Free Range Whole Chicken 0.33kg, £2.02 / 0.325kg",0.325,100g,chicken,0,-
"Tesco Lamb Sliced Liver 0.05kg, £0.22 / 0.05kg",0.45,450g,lamb’s liver,0,-
"T Northern Ireland Smoked Back Bacon 250G, £2.10 each",1,4,rashers smoked back bacon,0,-
"Fresh Lamb Whole Leg 0.50kg, £6.50 / 0.5kg",1,600g,lamb shoulder,0,-
"Tesco Finest British Cornfed Free Range Thigh Fillets 430G, £4.60 each",1,300g,chicken thigh fillets,130,g
