Recipe_ID,Recipe_Cost,No._of_Customer_ing,Savings,New_Recipe_Cost
0,20.14,2,1.84,18.3
1,18.64,0,0,18.64
2,14.69,0,0,14.69
3,8.85,0,0,8.85
4,18.99,0,0,18.99
5,15.69,0,0,15.69
6,9.27,0,0,9.27
7,11.07,0,0,11.07
8,10.21,1,0.89,9.32
9,7.1,0,0,7.1
10,13.58,0,0,13.58
11,22.49,0,0,22.49
12,14.4,0,0,14.4
13,6.65,0,0,6.65
14,8.13,0,0,8.13
15,18.75,0,0,18.75
16,19.92,0,0,19.92
17,12.77,0,0,12.77
18,8.15,0,0,8.15
19,11.39,0,0,11.39
20,16.18,0,0,16.18
21,20.75,0,0,20.75
22,13.22,0,0,13.22
23,13.02,0,0,13.02
24,19.88,0,0,19.88
25,9.49,0,0,9.49
26,10.72,0,0,10.72
27,10.14,0,0,10.14
28,14.3,0,0,14.3
29,24.13,0,0,24.13
30,18.1,1,0.95,17.15
31,4.82,0,0,4.82
32,5.78,0,0,5.78
33,13.08,0,0,13.08
34,15.25,0,0,15.25
35,10.45,0,0,10.45
36,8.3,0,0,8.3
37,8.8,0,0,8.8
38,8.83,0,0,8.83
39,7.81,0,0,7.81
40,12.26,0,0,12.26
41,5.77,0,0,5.77
42,11.5,0,0,11.5
43,13.96,0,0,13.96
44,14.1,0,0,14.1
45,35.66,0,0,35.66
46,24.77,0,0,24.77
47,14.3,0,0,14.3
48,19.4,0,0,19.4
49,14.18,1,0.89,13.29
